timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617983235916,64643,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983235916,3801,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983235916,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983236916,64642,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983236916,4688,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983236916,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983237916,64765,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983237916,9458,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983237916,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983238917,64809,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983238917,7473,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983238917,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983239917,64795,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983239917,8806,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983239917,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983240918,64778,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983240918,8292,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983240918,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983241918,64945,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983241918,13139,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983241918,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983242919,64925,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983242919,15319,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983242919,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983243919,64887,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983243919,8581,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983243919,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983244920,64883,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983244920,6443,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983244920,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983245920,64897,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983245920,6800,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983245920,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983246921,64884,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983246921,4769,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983246921,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983247921,64800,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983247921,6232,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983247921,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983248921,64837,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983248921,7865,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983248921,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983249922,64794,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983249922,4295,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983249922,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983250923,64781,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983250923,5573,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983250923,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983251923,64743,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983251923,5868,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983251923,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983252923,64741,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983252923,6519,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983252923,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983253923,64739,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983253923,4877,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983253923,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983254923,64696,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983254923,7889,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983254923,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983255923,64704,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983255923,7647,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983255923,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983256924,64690,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983256924,10137,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983256924,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983257924,64438,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983257924,6623,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983257924,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983258924,64433,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983258924,7607,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983258924,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983259925,64569,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983259925,11508,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983259925,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983260925,64562,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983260925,5927,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983260925,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983261925,64560,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983261925,11755,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983261925,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983262925,64564,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983262925,9751,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983262925,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983263925,64771,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983263925,9368,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983263925,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983264925,64773,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983264925,9356,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983264925,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983265926,64822,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983265926,8566,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983265926,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983266926,64896,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983266926,10516,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983266926,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983267927,64898,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983267927,8302,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983267927,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983268927,64887,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983268927,9439,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983268927,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983269927,64875,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983269927,6050,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983269927,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983270927,64866,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983270927,6324,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983270927,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983271927,64828,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983271927,4794,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983271927,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983272928,64819,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983272928,8617,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983272928,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983273928,64857,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983273928,10317,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983273928,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983274928,64865,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983274928,10854,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983274928,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983275929,64851,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983275929,3624,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983275929,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983276930,64800,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983276930,3804,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983276930,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983277930,64791,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983277930,3112,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983277930,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983278930,64825,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983278930,4517,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983278930,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983279930,64823,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983279930,5400,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983279930,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983280930,64780,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983280930,6643,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983280930,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983281931,64770,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983281931,5072,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983281931,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983282932,64768,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983282932,4290,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983282932,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983283933,64767,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983283933,6714,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983283933,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983284934,64766,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983284934,4405,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983284934,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983285934,64766,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983285934,6424,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983285934,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983286934,64766,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983286934,4105,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983286934,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983287935,64765,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983287935,3584,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983287935,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983288935,64769,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983288935,2750,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983288935,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983289936,64769,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983289936,5175,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983289936,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983290936,64767,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983290936,4792,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983290936,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983291936,64767,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983291936,2910,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983291936,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983292936,64764,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983292936,3627,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983292936,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983293937,64763,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983293937,4881,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983293937,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983294937,64762,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983294937,3592,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983294937,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983295937,64761,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983295937,5674,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983295937,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983296938,64761,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983296938,4494,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1617983296938,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1617983297938,64834,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1617983297938,3701,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
